area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft,total_rooms
Built-up  Area,Other,850.0,2.0,1.0,33.0,2.0,3882.3529411764707,4.0
Super built-up  Area,Anekal,530.0,1.0,1.0,18.0,1.0,3396.2264150943397,2.0
Super built-up  Area,Other,1550.0,3.0,3.0,110.0,3.0,7096.774193548387,6.0
Super built-up  Area,Kanakapura,1699.0,3.0,3.0,97.0,3.0,5709.240729841083,6.0
Super built-up  Area,Bellandur,2025.0,4.0,3.0,109.0,4.0,5382.716049382716,8.0
Super built-up  Area,Ananth Nagar,500.0,2.0,2.0,14.0,1.0,2800.0,3.0
Built-up  Area,Other,500.0,1.0,0.0,20.0,1.0,4000.0,2.0
Built-up  Area,Other,1146.0,2.0,1.0,38.5,2.0,3359.5113438045373,4.0
Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,332.0,3.0,13414.141414141413,7.0
Super built-up  Area,Haralur Road,1455.0,2.0,1.0,145.0,2.0,9965.635738831616,4.0
Plot  Area,Seegehalli,800.0,1.0,0.0,50.0,2.0,6250.0,3.0
Super built-up  Area,Abbigere,765.0,2.0,2.0,30.0,1.0,3921.5686274509803,3.0
Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,94.99,3.0,6245.233399079553,6.0
Super built-up  Area,Gottigere,1600.0,2.0,2.0,55.0,3.0,3437.5,5.0
Super built-up  Area,Other,3155.0,4.0,2.0,370.0,3.0,11727.41679873217,7.0
Super built-up  Area,Hebbal Kempapura,2900.0,4.0,2.0,240.0,3.0,8275.862068965518,7.0
Super built-up  Area,Other,1765.0,3.0,3.0,105.0,3.0,5949.008498583569,6.0
Super built-up  Area,Kasavanhalli,1980.0,3.0,2.0,88.0,3.0,4444.444444444444,6.0
Built-up  Area,Amruthahalli,1900.0,3.0,1.0,135.0,3.0,7105.263157894737,6.0
Super built-up  Area,Other,1265.0,2.0,3.0,70.0,2.0,5533.596837944664,4.0
Super built-up  Area,Bommasandra,1034.0,2.0,3.0,40.0,2.0,3868.4719535783365,4.0
Built-up  Area,Other,1012.0,2.0,1.0,59.0,2.0,5830.0395256917,4.0
Super built-up  Area,Electronic City,1070.0,2.0,1.0,54.0,2.0,5046.728971962617,4.0
Built-up  Area,Mahadevpura,3555.0,4.0,1.0,230.0,4.0,6469.760900140647,8.0
Super built-up  Area,5th Block Hbr Layout,1270.0,2.0,2.0,70.0,3.0,5511.811023622047,5.0
Super built-up  Area,Other,2045.0,4.0,3.0,154.0,3.0,7530.562347188264,7.0
Super built-up  Area,Bellandur,1490.0,2.0,2.0,98.0,3.0,6577.181208053691,5.0
Built-up  Area,Banaswadi,6150.0,6.0,1.0,830.0,7.0,13495.934959349594,13.0
Super built-up  Area,Mysore Road,883.0,2.0,1.0,40.0,2.0,4530.011325028313,4.0
Super built-up  Area,Yeshwanthpur,671.0,1.0,1.0,36.85,1.0,5491.803278688524,2.0
Super built-up  Area,Kammasandra,1156.0,2.0,2.0,32.0,2.0,2768.166089965398,4.0
Super built-up  Area,Haralur Road,2017.0,3.0,2.0,125.0,3.0,6197.322756569162,6.0
Super built-up  Area,Thigalarapalya,3122.0,6.0,2.0,235.0,4.0,7527.226137091608,10.0
Super built-up  Area,Ramagondanahalli,1635.0,3.0,1.0,62.0,3.0,3792.0489296636088,6.0
Built-up  Area,Other,4400.0,9.0,2.0,120.0,7.0,2727.2727272727275,16.0
Super built-up  Area,Kanakpura Road,1296.0,2.0,1.0,89.0,2.0,6867.283950617284,4.0
Plot  Area,Other,2400.0,4.0,2.0,280.0,6.0,11666.666666666666,10.0
Super built-up  Area,Budigere,1139.0,2.0,2.0,62.0,2.0,5443.371378402107,4.0
Super built-up  Area,CV Raman Nagar,1230.0,3.0,2.0,47.0,2.0,3821.1382113821137,5.0
Super built-up  Area,Other,581.91,2.0,1.0,25.0,1.0,4296.197006409926,3.0
Super built-up  Area,Binny Pete,1245.0,2.0,1.0,86.28,2.0,6930.120481927711,4.0
Plot  Area,Other,1158.0,2.0,2.0,85.0,3.0,7340.241796200346,5.0
Built-up  Area,Marathahalli,3951.0,4.0,2.0,220.0,4.0,5568.2105796001015,8.0
Super built-up  Area,Ramamurthy Nagar,360.0,1.0,1.0,26.0,1.0,7222.222222222223,2.0
Super built-up  Area,Electronics City Phase 1,1350.0,3.0,1.0,55.0,3.0,4074.074074074074,6.0
Built-up  Area,Green Glen Layout,1670.0,3.0,2.0,120.0,3.0,7185.62874251497,6.0
Super built-up  Area,Akshaya Nagar,1600.0,2.0,2.0,65.0,3.0,4062.5,5.0
Super built-up  Area,Horamavu Banaswadi,1307.0,2.0,2.0,51.6,2.0,3947.972456006121,4.0
Built-up  Area,7th Phase JP Nagar,1050.0,2.0,1.0,57.0,3.0,5428.571428571428,5.0
Super built-up  Area,Hennur Road,1703.0,3.0,2.0,101.0,3.0,5930.710510863182,6.0
Super built-up  Area,Kaggalipura,1210.0,2.0,1.0,58.0,3.0,4793.388429752066,5.0
Built-up  Area,Electronic City,1025.0,2.0,1.0,29.6,2.0,2887.8048780487807,4.0
Super built-up  Area,7th Phase JP Nagar,1343.0,2.0,2.0,56.41,3.0,4200.297840655249,5.0
Super built-up  Area,R.T. Nagar,1560.0,3.0,2.0,85.0,3.0,5448.717948717948,6.0
Super built-up  Area,Other,925.0,2.0,2.0,51.0,2.0,5513.513513513513,4.0
Super built-up  Area,Kanakpura Road,1420.0,2.0,2.0,75.0,3.0,5281.69014084507,5.0
Built-up  Area,Other,1415.0,2.0,3.0,110.0,2.0,7773.851590106007,4.0
Super built-up  Area,Other,1210.0,2.0,2.0,60.0,2.0,4958.677685950413,4.0
Super built-up  Area,Yeshwanthpur,1852.0,3.0,2.0,160.0,3.0,8639.308855291576,6.0
Super built-up  Area,Hoskote,1250.0,3.0,2.0,50.0,3.0,4000.0,6.0
Super built-up  Area,9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2.0,5909.090909090909,4.0
Super built-up  Area,Other,1150.0,2.0,1.0,40.25,2.0,3500.0,4.0
Super built-up  Area,Jakkur,1100.0,2.0,1.0,53.35,2.0,4850.0,4.0
Plot  Area,Magadi Road,1350.0,1.0,0.0,100.0,2.0,7407.407407407408,3.0
Super built-up  Area,Panathur,1546.0,3.0,2.0,99.0,3.0,6403.622250970246,6.0
Super built-up  Area,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2.0,6320.224719101124,4.0
Built-up  Area,Bellandur,1398.0,3.0,1.0,68.0,3.0,4864.0915593705295,6.0
Super built-up  Area,Indira Nagar,1650.0,3.0,2.0,200.0,3.0,12121.212121212122,6.0
Plot  Area,HBR Layout,1200.0,4.0,0.0,120.0,4.0,10000.0,8.0
Super built-up  Area,Brookefield,1476.0,3.0,2.0,105.0,3.0,7113.821138211382,6.0
Super built-up  Area,Magadi Road,1322.0,2.0,2.0,58.82,3.0,4449.3192133131615,5.0
Built-up  Area,Other,1100.0,2.0,2.0,55.0,2.0,5000.0,4.0
Super built-up  Area,Other,4750.0,5.0,2.0,600.0,4.0,12631.578947368422,9.0
Built-up  Area,Sarjapur,1285.0,2.0,2.0,68.0,3.0,5291.828793774319,5.0
Built-up  Area,Ambalipura,1150.0,2.0,2.0,80.0,2.0,6956.521739130435,4.0
Super built-up  Area,Thanisandra,1430.0,2.0,2.0,56.0,3.0,3916.083916083916,5.0
Super built-up  Area,Marathahalli,1350.0,2.0,2.0,62.0,3.0,4592.592592592592,5.0
Plot  Area,Other,1350.0,3.0,3.0,195.0,3.0,14444.444444444445,6.0
Built-up  Area,Thubarahalli,1185.0,2.0,2.0,65.0,2.0,5485.232067510548,4.0
Super built-up  Area,Bannerghatta Road,1760.0,3.0,2.0,67.0,3.0,3806.818181818182,6.0
Plot  Area,Other,2400.0,5.0,2.0,350.0,4.0,14583.333333333334,9.0
Super built-up  Area,Kanakpura Road,900.0,2.0,1.0,41.0,2.0,4555.555555555556,4.0
Super built-up  Area,Kanakpura Road,1297.0,2.0,1.0,105.0,2.0,8095.605242868157,4.0
Super built-up  Area,Other,1840.0,3.0,2.0,155.0,3.0,8423.91304347826,6.0
Built-up  Area,Ramamurthy Nagar,950.0,2.0,1.0,50.79,2.0,5346.315789473684,4.0
Carpet  Area,BTM 2nd Stage,950.0,2.0,1.0,52.0,2.0,5473.684210526316,4.0
Super built-up  Area,Yeshwanthpur,1277.5,2.0,0.0,95.815,2.0,7500.1956947162425,4.0
Super built-up  Area,Electronic City,1571.0,3.0,2.0,89.0,3.0,5665.1814131126675,6.0
Super built-up  Area,Electronic City Phase II,1031.0,2.0,1.0,55.0,2.0,5334.62657613967,4.0
Super built-up  Area,Whitefield,1485.0,2.0,1.0,90.0,2.0,6060.606060606061,4.0
Super built-up  Area,Ananth Nagar,1109.0,2.0,1.0,60.0,2.0,5410.279531109108,4.0
Super built-up  Area,Koramangala,2200.0,3.0,2.0,180.0,3.0,8181.818181818182,6.0
Super built-up  Area,Whitefield,950.0,1.0,1.0,50.0,1.0,5263.1578947368425,2.0
Plot  Area,Laggere,1200.0,2.0,0.0,150.0,3.0,12500.0,5.0
Super built-up  Area,Basavangudi,2350.0,3.0,3.0,300.0,3.0,12765.95744680851,6.0
Super built-up  Area,Electronic City Phase II,1003.0,2.0,1.0,40.6,2.0,4047.8564307078764,4.0
Plot  Area,Other,1350.0,2.0,1.0,185.0,2.0,13703.703703703704,4.0
Super built-up  Area,9th Phase JP Nagar,1080.0,2.0,2.0,37.0,2.0,3425.925925925926,4.0
Super built-up  Area,Hulimavu,1255.0,2.0,2.0,73.0,2.0,5816.733067729084,4.0
Super built-up  Area,Banaswadi,1250.0,2.0,0.0,60.0,2.0,4800.0,4.0
Plot  Area,Brookefield,1700.0,4.0,1.0,152.0,4.0,8941.176470588236,8.0
Plot  Area,Ramamurthy Nagar,1200.0,2.0,0.0,66.0,3.0,5500.0,5.0
Built-up  Area,Other,824.0,2.0,0.0,60.0,2.0,7281.553398058252,4.0
Super built-up  Area,1st Phase JP Nagar,1875.0,3.0,1.0,167.0,3.0,8906.666666666666,6.0
Built-up  Area,Bommasandra Industrial Area,1320.0,2.0,1.0,38.12,3.0,2887.8787878787875,5.0
Plot  Area,Kothanur,9600.0,5.0,2.0,550.0,5.0,5729.166666666667,10.0
Super built-up  Area,Uttarahalli,1330.0,2.0,1.0,47.0,3.0,3533.8345864661655,5.0
Super built-up  Area,Kaikondrahalli,1220.0,3.0,2.0,56.0,3.0,4590.163934426229,6.0
Super built-up  Area,Electronic City,1111.0,3.0,1.0,50.0,3.0,4500.450045004501,6.0
Super built-up  Area,Kothannur,1197.0,2.0,1.0,47.88,2.0,4000.0,4.0
Super built-up  Area,Marathahalli,2519.0,5.0,2.0,185.0,4.0,7344.184200079397,9.0
Super built-up  Area,Other,1340.0,2.0,1.0,100.0,3.0,7462.686567164179,5.0
Plot  Area,Old Madras Road,1450.0,3.0,3.0,132.0,4.0,9103.448275862069,7.0
Super built-up  Area,Hoodi,1837.0,3.0,3.0,145.0,3.0,7893.304300489929,6.0
Plot  Area,Haralur Road,1200.0,4.0,2.0,245.0,4.0,20416.666666666668,8.0
Super built-up  Area,Kudlu Gate,1238.0,2.0,3.0,55.0,2.0,4442.64943457189,4.0
Super built-up  Area,7th Phase JP Nagar,1405.0,2.0,2.0,59.01,3.0,4200.0,5.0
Super built-up  Area,Doddaballapur,1690.0,3.0,2.0,80.0,4.0,4733.7278106508875,7.0
Built-up  Area,Other,1620.0,2.0,1.0,110.0,3.0,6790.123456790124,5.0
Super built-up  Area,Kanakpura Road,1673.0,3.0,2.0,115.0,3.0,6873.879258816497,6.0
Plot  Area,Margondanahalli,1090.0,2.0,0.0,58.0,2.0,5321.100917431193,4.0
Super built-up  Area,Varthur,1112.0,2.0,2.0,40.0,2.0,3597.122302158273,4.0
Super built-up  Area,Marathahalli,1385.0,2.0,2.0,66.65,3.0,4812.274368231047,5.0
Super built-up  Area,Subramanyapura,985.0,2.0,1.0,58.0,2.0,5888.324873096447,4.0
Super built-up  Area,Kanakpura Road,825.0,1.0,0.0,36.29,1.0,4398.787878787879,2.0
Super built-up  Area,Kanakpura Road,1080.0,2.0,1.0,37.8,2.0,3499.9999999999995,4.0
Super built-up  Area,Hosa Road,1430.0,2.0,1.0,97.52,2.0,6819.580419580419,4.0
Super built-up  Area,Kengeri Satellite Town,1050.0,2.0,2.0,43.0,2.0,4095.2380952380954,4.0
Plot  Area,Kumaraswami Layout,2000.0,4.0,1.0,139.0,4.0,6950.0,8.0
Built-up  Area,Banashankari Stage VI,4800.0,4.0,3.0,190.0,4.0,3958.3333333333335,8.0
Built-up  Area,Other,1533.0,3.0,2.0,115.0,3.0,7501.630789302022,6.0
Plot  Area,Other,2800.0,3.0,2.0,500.0,4.0,17857.14285714286,7.0
Super built-up  Area,Malleshwaram,2610.0,3.0,2.0,399.0,3.0,15287.356321839081,6.0
Super built-up  Area,Lakshminarayana Pura,1750.0,3.0,2.0,150.0,3.0,8571.42857142857,6.0
Super built-up  Area,Prithvi Layout,1352.0,2.0,2.0,87.5,2.0,6471.89349112426,4.0
Super built-up  Area,Harlur,1754.0,3.0,2.0,125.0,3.0,7126.567844925884,6.0
Built-up  Area,Other,1560.0,3.0,2.0,85.0,3.0,5448.717948717948,6.0
Super built-up  Area,Bannerghatta,3012.0,6.0,2.0,268.0,4.0,8897.742363877822,10.0
Super built-up  Area,Whitefield,3584.0,4.0,2.0,199.0,4.0,5552.455357142857,8.0
Super built-up  Area,Channasandra,1470.0,2.0,1.0,90.0,3.0,6122.448979591837,5.0
Built-up  Area,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2.0,4347.826086956522,4.0
Plot  Area,Whitefield,2400.0,5.0,2.0,329.0,4.0,13708.333333333334,9.0
Built-up  Area,Kammanahalli,1160.0,2.0,1.0,52.0,2.0,4482.758620689655,4.0
Super built-up  Area,Jakkur,1100.0,2.0,2.0,52.0,2.0,4727.272727272727,4.0
Super built-up  Area,Horamavu Agara,1170.0,2.0,2.0,38.0,2.0,3247.863247863248,4.0
Super built-up  Area,Bannerghatta Road,595.0,1.0,1.0,31.83,1.0,5349.579831932773,2.0
Super built-up  Area,HSR Layout,1650.0,3.0,2.0,110.0,3.0,6666.666666666667,6.0
Super built-up  Area,1st Block Jayanagar,1875.0,2.0,3.0,235.0,3.0,12533.333333333334,5.0
Super built-up  Area,Other,1375.0,2.0,3.0,48.06,3.0,3495.2727272727275,5.0
Super built-up  Area,Ramagondanahalli,1235.0,2.0,1.0,46.8,2.0,3789.4736842105262,4.0
Super built-up  Area,Other,750.0,1.0,2.0,25.0,1.0,3333.3333333333335,2.0
Built-up  Area,7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3.0,8214.285714285714,6.0
Super built-up  Area,Poorna Pragna Layout,1270.0,2.0,2.0,50.79,3.0,3999.212598425197,5.0
Super built-up  Area,Bannerghatta Road,1105.0,2.0,1.0,51.0,2.0,4615.384615384615,4.0
Super built-up  Area,Other,1375.0,2.0,3.0,85.0,3.0,6181.818181818182,5.0
Plot  Area,Attibele,2168.0,4.0,2.0,95.0,4.0,4381.918819188192,8.0
Super built-up  Area,Yelahanka,1065.0,2.0,1.0,40.84,2.0,3834.7417840375592,4.0
Plot  Area,Other,3800.0,3.0,0.0,580.0,3.0,15263.157894736842,6.0
Plot  Area,Raja Rajeshwari Nagar,3125.0,9.0,2.0,350.0,9.0,11200.0,18.0
Super built-up  Area,Whitefield,825.0,1.0,1.0,45.0,1.0,5454.545454545455,2.0
Built-up  Area,Other,1095.0,2.0,0.0,40.0,2.0,3652.9680365296804,4.0
Super built-up  Area,Other,1440.0,2.0,2.0,60.33,3.0,4189.583333333333,5.0
Super built-up  Area,Electronic City,870.0,2.0,1.0,39.5,2.0,4540.229885057472,4.0
Super built-up  Area,Panathur,1195.0,2.0,1.0,84.0,2.0,7029.28870292887,4.0
Super built-up  Area,Other,1200.0,2.0,1.0,49.5,2.0,4125.0,4.0
Super built-up  Area,Raja Rajeshwari Nagar,1530.0,3.0,3.0,61.2,3.0,4000.0,6.0
Super built-up  Area,Padmanabhanagar,1708.0,2.0,1.0,90.5,3.0,5298.594847775175,5.0
Super built-up  Area,Other,975.0,2.0,1.0,43.0,2.0,4410.25641025641,4.0
Built-up  Area,KR Puram,750.0,2.0,1.0,25.0,2.0,3333.3333333333335,4.0
Super built-up  Area,Iblur Village,1920.0,3.0,2.0,130.0,3.0,6770.833333333333,6.0
Super built-up  Area,Thanisandra,1183.0,2.0,1.0,58.56,2.0,4950.126796280642,4.0
Super built-up  Area,Mico Layout,1550.0,2.0,2.0,65.0,3.0,4193.548387096775,5.0
Super built-up  Area,Kaggadasapura,1110.0,2.0,3.0,53.0,2.0,4774.774774774774,4.0
Super built-up  Area,Kaggadasapura,1105.0,2.0,1.0,38.67,2.0,3499.547511312217,4.0
Plot  Area,Anekal,1800.0,3.0,2.0,68.0,3.0,3777.777777777778,6.0
Super built-up  Area,Other,2800.0,4.0,2.0,200.0,5.0,7142.857142857143,9.0
Super built-up  Area,Bommanahalli,1000.0,2.0,2.0,29.9,2.0,2990.0,4.0
Built-up  Area,Prithvi Layout,1190.0,2.0,2.0,68.0,2.0,5714.285714285715,4.0
Plot  Area,2nd Stage Nagarbhavi,1350.0,4.0,1.0,200.0,4.0,14814.814814814816,8.0
Super built-up  Area,Hebbal,3067.0,4.0,2.0,230.0,4.0,7499.184871209651,8.0
Super built-up  Area,Sarjapur  Road,1929.0,4.0,1.0,103.0,3.0,5339.554173146708,7.0
Built-up  Area,Ramamurthy Nagar,1525.0,3.0,1.0,100.0,3.0,6557.377049180328,6.0
Super built-up  Area,Nehru Nagar,1775.0,3.0,3.0,110.0,3.0,6197.183098591549,6.0
Built-up  Area,Banashankari,1125.0,2.0,1.0,63.0,2.0,5600.0,4.0
Super built-up  Area,Other,900.0,2.0,2.0,42.0,2.0,4666.666666666667,4.0
Super built-up  Area,Sarjapur  Road,1155.0,2.0,1.0,58.0,2.0,5021.645021645022,4.0
Built-up  Area,Hulimavu,1200.0,4.0,0.0,75.0,4.0,6250.0,8.0
Super built-up  Area,Sonnenahalli,1268.0,2.0,1.0,73.0,2.0,5757.097791798107,4.0
Built-up  Area,Other,1500.0,3.0,2.0,88.0,3.0,5866.666666666667,6.0
Super built-up  Area,Electronic City,630.0,1.0,1.0,47.0,1.0,7460.31746031746,2.0
Super built-up  Area,Seegehalli,1525.0,3.0,2.0,65.0,3.0,4262.295081967213,6.0
Super built-up  Area,Kaggadasapura,1060.0,2.0,2.0,48.0,2.0,4528.301886792453,4.0
Super built-up  Area,Lingadheeranahalli,1687.0,3.0,3.0,127.0,3.0,7528.156490812093,6.0
Super built-up  Area,Thanisandra,1847.0,3.0,2.0,123.0,3.0,6659.447753113156,6.0
Super built-up  Area,Begur Road,1410.0,2.0,3.0,53.0,3.0,3758.8652482269504,5.0
Super built-up  Area,7th Phase JP Nagar,1075.0,2.0,1.0,42.99,2.0,3999.0697674418607,4.0
Super built-up  Area,Rajaji Nagar,3526.0,4.0,2.0,492.0,4.0,13953.488372093023,8.0
Built-up  Area,BTM Layout,3000.0,3.0,0.0,338.0,3.0,11266.666666666666,6.0
Built-up  Area,Basavangudi,1500.0,2.0,1.0,143.0,3.0,9533.333333333334,5.0
Built-up  Area,Other,1010.0,2.0,2.0,46.0,2.0,4554.455445544554,4.0
Super built-up  Area,Haralur Road,1875.0,3.0,3.0,110.0,3.0,5866.666666666667,6.0
Super built-up  Area,Kanakpura Road,983.0,2.0,1.0,50.6,2.0,5147.5076297049845,4.0
Super built-up  Area,Kasturi Nagar,1101.0,2.0,2.0,65.0,2.0,5903.723887375114,4.0
Super built-up  Area,Other,1140.0,2.0,1.0,76.0,2.0,6666.666666666667,4.0
Super built-up  Area,Sarjapur  Road,1215.0,2.0,2.0,110.0,2.0,9053.497942386832,4.0
Super built-up  Area,Kengeri Satellite Town,1007.0,2.0,3.0,42.0,2.0,4170.8043694141015,4.0
Super built-up  Area,Bellandur,2039.0,3.0,2.0,168.0,3.0,8239.333006375675,6.0
Built-up  Area,Ulsoor,1020.0,3.0,2.0,110.0,3.0,10784.313725490196,6.0
Super built-up  Area,Other,1198.0,2.0,1.0,84.0,2.0,7011.686143572621,4.0
Built-up  Area,Other,4000.0,4.0,1.0,520.0,4.0,13000.0,8.0
Plot  Area,Other,1470.0,4.0,2.0,34.5,4.0,2346.938775510204,8.0
Built-up  Area,Other,1370.0,2.0,2.0,75.0,2.0,5474.4525547445255,4.0
Super built-up  Area,Other,1316.0,2.0,3.0,55.5,2.0,4217.325227963526,4.0
Super built-up  Area,Kaggadasapura,1350.0,3.0,1.0,55.5,3.0,4111.111111111111,6.0
Super built-up  Area,Other,1050.0,2.0,1.0,43.0,2.0,4095.2380952380954,4.0
Carpet  Area,KR Puram,1128.76,3.0,0.0,47.405,3.0,4199.741309047096,6.0
Super built-up  Area,Electronic City,921.0,2.0,1.0,34.0,2.0,3691.6395222584147,4.0
Super built-up  Area,Kundalahalli,1010.0,2.0,1.0,49.27,2.0,4878.217821782178,4.0
Super built-up  Area,KR Puram,1015.0,2.0,1.0,43.0,2.0,4236.453201970443,4.0
Plot  Area,TC Palaya,1200.0,2.0,0.0,66.5,3.0,5541.666666666667,5.0
Built-up  Area,Lakshminarayana Pura,1179.0,2.0,1.0,75.0,2.0,6361.323155216285,4.0
Built-up  Area,Anjanapura,1850.0,4.0,2.0,86.0,4.0,4648.648648648648,8.0
Super built-up  Area,Kammasandra,870.0,2.0,1.0,24.0,2.0,2758.6206896551726,4.0
Super built-up  Area,Bellandur,1605.0,3.0,2.0,85.0,3.0,5295.95015576324,6.0
Plot  Area,Banashankari Stage VI,2800.0,4.0,2.0,89.0,4.0,3178.5714285714284,8.0
Super built-up  Area,Malleshwaram,2475.0,4.0,3.0,320.0,3.0,12929.29292929293,7.0
Plot  Area,Other,3000.0,2.0,0.0,510.0,2.0,17000.0,4.0
Plot  Area,Other,2400.0,7.0,2.0,110.0,6.0,4583.333333333333,13.0
Super built-up  Area,Other,1000.0,1.0,1.0,55.0,2.0,5500.0,3.0
Plot  Area,Ramamurthy Nagar,1200.0,2.0,0.0,80.0,2.0,6666.666666666667,4.0
Plot  Area,Other,1200.0,2.0,2.0,125.0,2.0,10416.666666666666,4.0
Plot  Area,Kammasandra,1200.0,2.0,1.0,66.0,2.0,5500.0,4.0
Built-up  Area,Other,1200.0,2.0,2.0,50.0,2.0,4166.666666666667,4.0
Super built-up  Area,Hennur,1255.0,2.0,1.0,57.5,2.0,4581.673306772908,4.0
Super built-up  Area,Hosur Road,1085.0,2.0,2.0,30.38,2.0,2800.0,4.0
Super built-up  Area,Kanakpura Road,1592.0,3.0,2.0,125.0,3.0,7851.75879396985,6.0
Super built-up  Area,Other,1313.0,2.0,1.0,58.27,2.0,4437.928408225438,4.0
Super built-up  Area,Kogilu,1934.0,3.0,2.0,150.0,3.0,7755.946225439504,6.0
Super built-up  Area,Harlur,1200.0,2.0,1.0,49.5,2.0,4125.0,4.0
Super built-up  Area,Uttarahalli,3600.0,6.0,2.0,120.0,6.0,3333.3333333333335,12.0
Super built-up  Area,Old Madras Road,935.0,2.0,1.0,45.0,2.0,4812.834224598931,4.0
Built-up  Area,Bommasandra,877.0,2.0,2.0,30.0,2.0,3420.752565564424,4.0
Super built-up  Area,Other,936.0,2.0,2.0,42.0,2.0,4487.179487179487,4.0
Super built-up  Area,Nagasandra,1470.0,2.0,2.0,110.0,3.0,7482.993197278912,5.0
Built-up  Area,Other,1050.0,1.0,1.0,70.0,1.0,6666.666666666667,2.0
Super built-up  Area,Hennur Road,1232.0,2.0,0.0,69.61,2.0,5650.162337662337,4.0
Super built-up  Area,Ambedkar Nagar,2225.0,4.0,2.0,169.0,3.0,7595.505617977528,7.0
Plot  Area,Other,1200.0,2.0,0.0,80.0,3.0,6666.666666666667,5.0
Super built-up  Area,Dasarahalli,1901.0,3.0,2.0,119.0,3.0,6259.863229879011,6.0
Super built-up  Area,Sarjapur  Road,1819.0,3.0,2.0,100.0,3.0,5497.526113249038,6.0
Super built-up  Area,Old Madras Road,3715.0,6.0,0.0,200.5,4.0,5397.039030955585,10.0
Built-up  Area,9th Phase JP Nagar,5000.0,4.0,3.0,290.0,4.0,5800.0,8.0
Super built-up  Area,Other,1200.0,4.0,3.0,169.0,4.0,14083.333333333334,8.0
Super built-up  Area,Other,1256.0,2.0,1.0,60.0,2.0,4777.070063694267,4.0
Super built-up  Area,7th Phase JP Nagar,1100.0,2.0,2.0,44.0,2.0,4000.0,4.0
Plot  Area,TC Palaya,4800.0,3.0,3.0,302.0,4.0,6291.666666666667,7.0
Super built-up  Area,Kothanur,1435.0,3.0,3.0,70.0,3.0,4878.048780487805,6.0
Super built-up  Area,6th Phase JP Nagar,3245.0,4.0,2.0,250.0,4.0,7704.160246533128,8.0
Super built-up  Area,Sarjapur  Road,1845.0,4.0,1.0,110.0,3.0,5962.059620596206,7.0
Plot  Area,Jigani,2400.0,4.0,1.0,130.0,3.0,5416.666666666667,7.0
Super built-up  Area,Ulsoor,1200.0,2.0,0.0,60.0,2.0,5000.0,4.0
Super built-up  Area,Talaghattapura,2254.0,3.0,2.0,170.0,3.0,7542.147293700089,6.0
Super built-up  Area,Frazer Town,1750.0,3.0,2.0,150.0,3.0,8571.42857142857,6.0
Built-up  Area,Other,1020.0,2.0,1.0,37.0,2.0,3627.450980392157,4.0
Built-up  Area,Bommanahalli,515.0,1.0,1.0,25.0,1.0,4854.368932038835,2.0
Super built-up  Area,Lingadheeranahalli,1893.0,3.0,2.0,140.0,3.0,7395.66825145272,6.0
Super built-up  Area,Other,3025.0,3.0,0.0,500.0,3.0,16528.92561983471,6.0
Built-up  Area,Other,830.0,2.0,0.0,34.0,2.0,4096.385542168675,4.0
Built-up  Area,Singasandra,600.0,2.0,1.0,36.5,2.0,6083.333333333333,4.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,90.0,3.0,8372.093023255815,5.0
Plot  Area,Other,3200.0,4.0,2.0,1200.0,4.0,37500.0,8.0
Super built-up  Area,Kasavanhalli,1200.0,2.0,1.0,78.0,2.0,6500.0,4.0
Super built-up  Area,Sarjapur  Road,1233.0,2.0,2.0,77.65,2.0,6297.6480129764805,4.0
Super built-up  Area,Bannerghatta Road,1255.0,2.0,2.0,65.26,2.0,5200.000000000001,4.0
Super built-up  Area,Begur Road,1200.0,2.0,2.0,37.8,2.0,3149.9999999999995,4.0
Super built-up  Area,Varthur,2145.0,3.0,2.0,175.0,3.0,8158.508158508159,6.0
Built-up  Area,1st Phase JP Nagar,1500.0,5.0,2.0,85.0,5.0,5666.666666666667,10.0
Built-up  Area,Kothannur,740.0,2.0,1.0,34.0,2.0,4594.594594594595,4.0
Super built-up  Area,Kengeri,1250.0,3.0,3.0,48.0,3.0,3840.0,6.0
Super built-up  Area,Other,1210.0,2.0,2.0,40.0,2.0,3305.785123966942,4.0
Super built-up  Area,Sarjapur  Road,1525.0,2.0,2.0,60.0,3.0,3934.4262295081967,5.0
Built-up  Area,Kogilu,540.0,1.0,0.0,36.0,1.0,6666.666666666667,2.0
Super built-up  Area,Tumkur Road,1240.0,2.0,1.0,84.0,3.0,6774.193548387097,5.0
Super built-up  Area,Subramanyapura,1245.0,2.0,1.0,68.0,3.0,5461.847389558233,5.0
Plot  Area,Other,1865.0,3.0,3.0,350.0,3.0,18766.756032171583,6.0
Super built-up  Area,Hosa Road,1104.0,2.0,0.0,36.43,2.0,3299.81884057971,4.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,35.99,3.0,3347.906976744186,5.0
Built-up  Area,Nagavara,2200.0,2.0,1.0,55.0,2.0,2500.0,4.0
Super built-up  Area,Whitefield,1155.0,2.0,1.0,60.0,2.0,5194.805194805195,4.0
